title,Levitating+Dua_Lipa,Getaway_Car+Taylor_Swift,Give_me_one_reason+Tracy_Chapman,Harleys_in_Hawaii+Katy_Perry,Lucid_Dreams+Juice_WRLD
怪物,True,True,False,True,False
廻廻奇譚,True,True,False,True,False
0 (zero),False,False,True,True,True
紅蓮華,True,True,False,True,False
歌よ,False,False,True,True,True
One Last Kiss,False,False,True,True,True
Oz.,True,True,False,True,False
ブルーバード,True,True,False,True,False
炎,True,True,False,True,False
LOST IN PARADISE,True,True,False,True,False
Black Catcher,True,True,False,True,False
インフェルノ,True,True,False,True,False
U,True,True,False,True,False
Unity,True,True,False,True,False
モラトリアム,True,True,False,True,False
Monster,True,True,False,True,False
PINK BLOOD,False,False,True,True,True
Eden,False,True,False,True,True
Call of Silence,False,False,True,True,True
Black Rover,True,True,False,True,False
往け,True,True,False,True,False
U - English Version,False,False,True,True,True
残響散歌,True,True,False,True,False
海と真珠,True,True,False,True,False
Lucky Ending,False,True,False,True,True
空と虚,True,True,False,True,False
Avid,True,True,False,True,False
透明な世界,True,True,False,True,False
明け星,True,True,False,True,False
Dream on,True,True,False,True,False
光るなら,True,True,False,True,False
優しい彗星,True,True,False,True,False
季路,True,True,False,True,False
Replica,True,True,False,True,False
Prologue,True,True,False,True,False
絶体絶命,True,True,False,True,False
Tell me,False,False,True,True,True
明け星,True,True,False,True,False
タクト,True,True,False,True,False
Ref:rain,True,True,False,True,False
生命線,True,True,False,True,False
kIng,True,True,False,True,False
嘘月,False,False,True,True,True
神無-KANNA-,True,True,False,True,False
Again,True,True,False,True,False
remember,False,False,True,True,True
嘘じゃない,True,True,False,True,False
慈雨のくちづけ,True,True,False,True,False
色香水,True,True,False,True,False
白銀,True,True,False,True,False
Hands Up to the Sky,True,True,False,True,False
BOY,True,True,False,True,False
星瞬~Star Wink~,True,True,False,True,False
EVERBLUE,True,True,False,True,False
永遠に光れ (Everlasting Shine),True,True,False,True,False
透明,False,False,True,True,True
Tiny Light,True,True,False,True,False
Sing My Pleasure,True,True,False,True,False
TWISTED HEARTS,True,True,False,True,False
A Promise,False,False,True,True,True
Mother,True,True,False,True,False
きみのうた,True,True,False,True,False
ないない,True,True,False,True,False
世界は恋に落ちている,True,True,False,True,False
プリズム,False,False,True,True,True
最後の花弁 (The meaning of love),True,True,False,True,False
うらがわの存在,True,True,False,True,False
Cry Baby,True,True,False,True,False
リセット,False,False,True,True,True
Break,False,True,False,True,True
BAD CANDY,True,True,False,True,False
Fluorite Eye's Song,True,True,False,True,False
from the edge,True,True,False,True,False
魔法,False,True,False,True,True
変わりゆくもの変わらないもの,True,True,False,True,False
標火,True,True,False,True,False
aLIEz,True,True,False,True,False
ヒカレイノチ,True,True,False,True,False
Lost Game,True,True,False,True,False
Shout Baby,True,True,False,True,False
世界の秘密,True,True,False,True,False
BEAUTIFUL,True,True,False,True,False
HOME,True,True,False,True,False
フリイジア,True,True,False,True,False
遠くの子守の唄,False,True,False,True,True
Blessing,True,True,False,True,False
Stranger,True,True,False,True,False
DYING WISH,True,True,False,True,False
結証,True,True,False,True,False
give it back,True,True,False,True,False
あなたがくれたヒカリ,True,True,False,True,False
BANG!!!,True,True,False,True,False
窓を開けて,True,True,False,True,False
シンパシー,False,False,True,True,True
Reincarnate,True,True,False,True,False
through the dark,True,True,False,True,False
"Thought I Knew ft. ra’z, Hayes",True,True,False,True,False
この夢が醒めるまで,True,True,False,True,False
CRY,True,True,False,True,False
YAMAZAKURA,False,False,True,True,True
悪魔の子,False,False,True,True,True
The Rumbling,True,True,False,True,False
逆夢,False,True,False,True,True
Dive Back In Time,False,True,False,True,True
Your Name,True,True,False,True,False
紅蓮華,True,True,False,True,False
朝が来る,True,True,False,True,False
心海,True,True,False,True,False
EVERBLUE,True,True,False,True,False
紅蓮華,True,True,False,True,False
Tiny Light,True,True,False,True,False
Tiny Light,True,True,False,True,False
Cry Baby,True,True,False,True,False
リセット,False,False,True,True,True
OverThink,False,False,True,True,True
Shout Baby,True,True,False,True,False
犬姫,True,True,False,True,False
Flare,True,True,False,True,False
Shout Baby,True,True,False,True,False
境界線,True,True,False,True,False
リナリア,True,True,False,True,False
Small world,True,True,False,True,False
Eureka (feat. kojikoji),False,False,True,True,True
Red Swan,True,True,False,True,False
Answers,True,True,False,True,False
Missing Promise,True,True,False,True,False
我武者羅 (TV size),True,True,False,True,False
Sincerely - English version,True,True,False,True,False
Red Swan,True,True,False,True,False
Move Mountains,True,True,False,True,False
一途,True,True,False,True,False
Who are you?,True,True,False,True,False
BAKU (CORSAK Remix) -Sakura Chill Beats Singles,False,False,True,True,True
Kiss Me,False,True,False,True,True
燈,True,True,False,True,False
ここで息をして,True,True,False,True,False
PAINT,True,True,False,True,False
インフィニティ,True,True,False,True,False
four,True,True,False,True,False
シルエット (TOKYO MACHINE Remix) - Sakura Chill Beats Singles,True,True,False,True,False
シンデレラ,True,True,False,True,False
カザニア,True,True,False,True,False
VOLTAGE,True,True,False,True,False
Eclipse TV Size,True,True,False,True,False
Grand Escape (Movie Edit) [feat. Toko Miura],False,True,False,True,True
ケアレス,True,True,False,True,False
ハヅキ,False,True,False,True,True
モノクロシティ,True,True,False,True,False
ad meliora,False,False,True,True,True
息を吸う ここで吸う 生きてく,True,True,False,True,False
Universe,True,True,False,True,False
No.1,True,True,False,True,False
NAMELY,False,True,False,True,True
オトメの心得,True,True,False,True,False
salvation - Anime ver.,True,True,False,True,False
Fire,True,True,False,True,False
Etoile,True,True,False,True,False
No.1,True,True,False,True,False
unlasting,True,True,False,True,False
君が見た夢の物語,True,True,False,True,False
麻痺,True,True,False,True,False
祈りの唄,False,False,True,True,True
Get up! Shout!,True,True,False,True,False
裸の勇者,True,True,False,True,False
衝撃,True,True,False,True,False
シオン,False,False,True,True,True
ad meliora - acoustic mix,False,False,True,True,True
auro nowe,False,False,True,True,True
FOREVER,True,True,False,True,False
打上花火,True,True,False,True,False
Phone Call,True,True,False,True,False
ばかじゃないのに,True,True,False,True,False
THE ANSWER,True,True,False,True,False
降伏論,True,True,False,True,False
Many Stories,False,False,True,True,True
Kiss Me,True,True,False,True,False
DREAMIN' ON,True,True,False,True,False
光るとき,True,True,False,True,False
花に亡霊,False,False,True,True,True
Is There Still Anything That Love Can Do?,True,True,False,True,False
アイデンティティ,True,True,False,True,False
You're my perfect mirror,True,True,False,True,False
導,False,True,False,True,True
カワキヲアメク,True,True,False,True,False
足跡,True,True,False,True,False
名もない花,True,True,False,True,False
SAKURA BURST,True,True,False,True,False
サイカ,True,True,False,True,False
マヨイガ,True,True,False,True,False
穴空きの空,True,True,False,True,False
二千五百万分の一,True,True,False,True,False
Let There Be Light Again,False,False,True,True,True
Be Down,True,True,False,True,False
New Page,True,True,False,True,False
LEVEL,True,True,False,True,False
Icy Ivy,True,True,False,True,False
マヨイガ,True,True,False,True,False
冒険のVLOG,True,True,False,True,False
ブルーバード - from CrosSing,True,True,False,True,False
約束,True,True,False,True,False
おんなじキモチ。,True,True,False,True,False
We'll Be Alright (Movie Edit),False,False,True,True,True
ここで生きてる,True,True,False,True,False
Eden through the rough,True,True,False,True,False
Good Time - feat. SKY-HI,False,False,True,True,True
ベロニカ,True,True,False,True,False
Like Flames,True,True,False,True,False
アトック,True,True,False,True,False
BLIZZARD,True,True,False,True,False
Crossing Road,True,True,False,True,False
You & Me,True,True,False,True,False
残酷な天使のテーゼ MATSURI SPIRIT,False,False,True,True,True
Like Flames,True,True,False,True,False
HELLO HORIZON,True,True,False,True,False
虹とカイト,False,True,False,True,True
STORYSEEKER,False,True,False,True,True
Gravity,False,False,True,True,True
外道讃歌,True,True,False,True,False
いちごサンセット,True,True,False,True,False
dust,True,True,False,True,False
PHOENIX,True,True,False,True,False
ひかりのディスコ,True,True,False,True,False
Papersky,True,True,False,True,False
あなたがいる,True,True,False,True,False
イザベラの唄,False,False,True,True,True
あの子は大丈夫,False,False,True,True,True
"The Name of Life - From ""Spirited Away"" (""Le Voyage de Chihiro"")",False,False,True,True,True
Faces in the Rain,False,False,True,True,True
"Dream Lantern (from ""Your Name"") - Piano Version",False,False,True,True,True
ずっと見てた,False,False,True,True,True
berceuse: piano,False,False,True,True,True
哀と悲,False,False,True,True,True
午後の眠り,False,False,True,True,True
Rody's Heart,False,False,True,True,True
BPF1,False,False,True,True,True
"Itusmo nando demo (from ""Spirited Away"") - Piano Version",False,False,True,True,True
家族,False,False,True,True,True
ヒリングの努力,False,False,True,True,True
Scaena felix,False,False,True,True,True
tender moment,False,False,True,True,True
Jack's Waltz,False,True,False,True,True
冒険の終わりに…,False,False,True,True,True
Lonely Night,False,False,True,True,True
what if?: guitar,False,False,True,True,True
A Heart That Is Inherited,False,False,True,True,True
トラウマ,False,False,True,True,True
Spirited Away: I. One Summer's Day,False,False,True,True,True
絆,False,False,True,True,True
Boule de cristal - Piano,False,False,True,True,True
Memories of a Sound,False,False,True,True,True
"Kamado Tanjiro no Uta (from ""Demon Slayer"") - Piano Version",False,False,True,True,True
Recharge,False,False,True,True,True
Luke's Lament,False,False,True,True,True
Hora Auxo,False,False,True,True,True
End Requiem,False,False,True,True,True
"Is There Still Anything That Love Can Do? (from ""Weathering with You"") - Piano Version",False,False,True,True,True
己の選択,False,False,True,True,True
Repeat Days,False,False,True,True,True
GREAT SPIRITS,False,False,True,True,True
哀と愁,False,False,True,True,True
"Might*U (from ""My Hero Academia: Heroes Rising"") - Piano Version",False,False,True,True,True
ムジカ、ソンジュとエマ達との友情,False,False,True,True,True
Tomo no Tasuke,False,False,True,True,True
"Penrose Steps, A.I. Bloom - From ""Eden"" Soundtrack",False,False,True,True,True
追憶,False,False,True,True,True
天命,False,False,True,True,True
Ⅱ quiet romance,False,False,True,True,True
Separation,False,False,True,True,True
Weave Your World,False,False,True,True,True
Interlude Mirrors,False,False,True,True,True
"Sadness and Sorrow (from ""Naruto"") - Piano Version",False,False,True,True,True
pensees intimes: piano,False,False,True,True,True
Yoh's spirit,False,False,True,True,True
AOE組曲 第四楽章: AI,False,False,True,True,True
ノスタルジア,False,False,True,True,True
ともに憩いを,False,False,True,True,True
Illyana's Theme,False,False,True,True,True
Fleeting Days,False,False,True,True,True
Reminiscence,False,False,True,True,True
Beautiful World - Da Capo Version [Instrumental],False,False,True,True,True
Memories,False,False,True,True,True
きっと誰かの役に立てる,False,False,True,True,True
葛藤,False,False,True,True,True
Empathic Heart,False,False,True,True,True
"Accross the Violet Sky (from ""Violet Evergarden"") - Piano Version",False,False,True,True,True
Rhythm of the Breeze,False,False,True,True,True
Free The Wind,False,False,True,True,True
Tao Family Philosophy,False,False,True,True,True
"Sekibetsu (from ""JoJo's Bizarre Adventure: Phantom Blood"") - Piano Version",False,False,True,True,True
Grudge Against the Past,False,False,True,True,True
Rin's Melody,False,False,True,True,True
"One Summer's Day (From ""Spirited Away"")",False,False,True,True,True
AdラLib,False,False,True,True,True
ヒーローの影,False,False,True,True,True
Desiderium,False,False,True,True,True
五月雨,False,False,True,True,True
"Watashi no Uso (from ""Your Lie in April"") - Piano Version",False,False,True,True,True
f <pfs>,False,False,True,True,True
Mirajane's Theme,False,False,True,True,True
Ⅲ epilogue,False,False,True,True,True
"Main Theme (from ""Fairy Tail"") - Piano Version",False,False,True,True,True
aズ-17歩,False,False,True,True,True
ヒナタvsネジ,False,False,True,True,True
行き止まり,False,False,True,True,True
Return to Base,False,False,True,True,True
Yuri on ICE,False,False,True,True,True
tema principale: orchestra dedicata ai maestri,False,False,True,True,True
Kenji,False,False,True,True,True
ボッジとカゲの友情,False,False,True,True,True
"Date (from ""Your Name"") - Piano Version",False,False,True,True,True
神聖円卓領域:キャメロット orchestra ver.(Live),False,False,True,True,True
砂の星,False,False,True,True,True
BLUE,False,False,True,True,True
The Promised Neverland (Pf solo Version),False,False,True,True,True
Postmeridie,False,False,True,True,True
ひとり,False,False,True,True,True
"The Path of the Wind (from ""My Neighbor Totoro"") - Piano Version",False,False,True,True,True
"Be a Flower, Be Nothing (feat. Tina Guo)",False,False,True,True,True
Theme of Blood Blockade Battlefront,False,False,True,True,True
pF-AdLibⅣ,False,False,True,True,True
Rainy Steps,False,False,True,True,True
"Main Theme (from ""Grave of the Fireflies"") - Piano Version",False,False,True,True,True
Rei II,False,False,True,True,True
Puella in somnio,False,False,True,True,True
A Proud Father,False,False,True,True,True
mommy,False,False,True,True,True
Her Blue Sky,False,False,True,True,True
"Ashitaka and San (from ""Princess Mononoke"") - Piano Version",False,False,True,True,True
Letter,False,False,True,True,True
流れ星,False,False,True,True,True
聞き慣れたメロディー (orchestra ver.),False,True,False,True,True
ナルトとヒカル~認め合う二人~,False,False,True,True,True
桜のテーマ,False,False,True,True,True
"Lit (from ""A Silent Voice"") - Piano Version",False,False,True,True,True
En/Kin/Nai/Kan/Sin/Ki/Ei/Satsu,False,False,True,True,True
The Promised Neverland (Epf solo Version),False,False,True,True,True
らゲ-sin,False,False,True,True,True
morning moon,False,False,True,True,True
たとえ、夜が続いても,False,False,True,True,True
交響$weet 4th-Mov.:f,False,False,True,True,True
Minori Theme,False,False,True,True,True
理想郷,False,False,True,True,True
22194,False,False,True,True,True
Tatsuya,False,False,True,True,True
Spirited Away: III. The Sixth Station,False,False,True,True,True
TPF-4,False,False,True,True,True
ぬくもり,False,False,True,True,True
innocence,False,False,True,True,True
富士風雪絵,False,False,True,True,True
本当の気持ち,False,False,True,True,True
A Morning in New Bark Town,False,False,True,True,True
雪の日,False,False,True,True,True
Memories,False,False,True,True,True
Gurenge (Demon Slayer OP),False,False,True,True,True
It's Better Not to Say It,False,False,True,True,True
Ⅲ rain goes up,False,False,True,True,True
Crepuscule - Tokyo III,False,False,True,True,True
"A Sea of Clouds in the Moonlight (from ""Castle in the Sky"") - Piano Version",False,False,True,True,True
サラダ~心痛,False,False,True,True,True
"tender smile, gentle feeling",False,False,True,True,True
days,False,False,True,True,True
Made in Abyss,False,False,True,True,True
"Newborn, Naked Morning",False,False,True,True,True
日差しの中で ~FGO~,False,False,True,True,True
We Have to Get to China,False,False,True,True,True
Khun,True,True,False,True,False
"Merry-Go-Round of Life (from ""Howl's Moving Castle"") - Piano Version",False,False,True,True,True
Departure,False,False,True,True,True
落日,False,False,True,True,True
祝・映画化!!,False,False,True,True,True
"Mother Sea (from ""One Piece"") - Piano Version",False,False,True,True,True
慈悲,False,False,True,True,True
GATE OF STEINER -Piano-,False,False,True,True,True
il sole,False,False,True,True,True
"Kanashiki Kako (from""Fairy Tail"") - Piano Version",False,False,True,True,True
夕暮れ,False,False,True,True,True
Cruel Dilemme IV,False,False,True,True,True
In the Rain,False,False,True,True,True
You Are My Beautiful Song,False,False,True,True,True
Butterfly Joe,False,False,True,True,True
"Otouto Mitai na Sonzai (from ""Your Lie in April"") - Piano Version",False,False,True,True,True
銀髪の少年,False,False,True,True,True
そして訪れた平和,False,False,True,True,True
Kansas,False,False,True,True,True
Miki,False,False,True,True,True
Descending the Stairs,False,False,True,True,True
Juvenile Psalms,False,False,True,True,True
山間にて,False,False,True,True,True
ayumu i,False,False,True,True,True
Men of the Earth,False,False,True,True,True
Circulation,False,False,True,True,True
Future Nursery,False,False,True,True,True
Anna - Piano Version,False,False,True,True,True
Horizon,False,False,True,True,True
A Tree in the Dark,False,False,True,True,True
敗者,False,False,True,True,True
Hora Carpo,False,False,True,True,True
イザベラの唄 (Mandolin Version),False,False,True,True,True
Revelation,False,False,True,True,True
いつも何度でも(Instrumental),False,False,True,True,True
寂静,False,False,True,True,True
Hifumi (Medicine Song),False,False,True,True,True
理想郷,False,False,True,True,True
Lounge,False,True,False,True,True
Cradle Of Myriad Stars,False,False,True,True,True
君をのせて,True,True,False,True,False
Meguro,False,False,True,True,True
Departure,False,False,True,True,True
Water Memory,False,False,True,True,True
"Pokémon Theme (Solo Piano) [From ""Pokémon the Movie: I Choose You""]",False,False,True,True,True
Lullaby In The Peaceful Light,False,False,True,True,True
Thought of You,False,False,True,True,True
POLARIS,False,False,True,True,True
冷雨,False,False,True,True,True
BEASTARS -pf solo-,False,False,True,True,True
Sweet Fragments of Peace,False,False,True,True,True
KK9(m19),False,False,True,True,True
Oyoste Aina,False,False,True,True,True
His Heart,False,False,True,True,True
Days We All Have,False,False,True,True,True
Aots3-Pf2,False,False,True,True,True
Rei I,False,False,True,True,True
父子,False,False,True,True,True
tfpf1,False,False,True,True,True
ナットキングバラード,False,False,True,True,True
White Gloves (Reprise),False,False,True,True,True
Midnight,False,False,True,True,True
"Tori no Hito - Ending (From ""Kaze no Tani no Naushicaa"")",False,False,True,True,True
人生のメリーゴーランド,True,True,False,True,False
You're in Love,False,False,True,True,True
a Man,False,False,True,True,True
Cradle Song,False,False,True,True,True
Avatar The Legend of Korra Ending Theme,False,False,True,True,True
The Path of the Wind,False,False,True,True,True
KK1PfVer,False,False,True,True,True
Fairy Tail Main Theme - Slow ver.,False,False,True,True,True
Ling Ya,False,False,True,True,True
Blue Sky(2012 Version),False,False,True,True,True
